" ","score","status","future"
"Index",69.81,,70.38
"Food Provision",68.67,64.63,72.7
". Fisheries",56.43,52,60.86
". Mariculture",96.88,93.75,100
"Artisanal Fishing Opportunity",72,66.48,77.51
"Natural Products",22,19.97,24.03
"Carbon Storage",,50,
"Coastal Protection",,50,
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",86.23,100,72.47
". Livelihoods",100,100,100
". Economies",72.47,100,44.94
"Sense of Place",77.68,75.6,79.76
". Iconic Species",59.54,59.56,59.52
". Lasting Special Places",95.82,91.64,100
"Clean Waters",50.91,49.39,52.42
"Biodiversity",80.95,77.73,84.18
". Habitats",74.56,69.38,79.73
". Species",87.35,86.09,88.62
