" ","score","status","future","trend","pressures","resilience"
"Index",69.81,,70.38,,,
"Food Provision",68.67,64.63,72.7,-0.01,,
". Fisheries",56.43,52,60.86,0,22.99,74.61
". Mariculture",96.88,93.75,100,-0.03,39.86,71.21
"Artisanal Fishing Opportunity",72,66.48,77.51,-0.01,22.37,75.41
"Natural Products",22,19.97,24.03,0.03,21.98,78.06
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,0,47.4,83.62
"Coastal Livelihoods & Economies",86.23,100,72.47,-0.46,,
". Livelihoods",100,100,100,0.09,30.87,48.35
". Economies",72.47,100,44.94,-1,30.11,66.29
"Sense of Place",77.68,75.6,79.76,-0.1,,
". Iconic Species",59.54,59.56,59.52,-0.2,36,76.45
". Lasting Special Places",95.82,91.64,100,0,38.88,76.8
"Clean Waters",50.91,49.39,52.42,0.01,66.38,83.62
"Biodiversity",80.95,77.73,84.18,-0.08,,
". Habitats",74.56,69.38,79.73,0.01,32.56,75.75
". Species",87.35,86.09,88.62,-0.18,30.19,75.31
